UI_20150317_000001	{@st41b}各种大师职业类别{nl}你可以了解的特点.{/}
UI_20150317_000558	{@st41b}我考虑考虑...
UI_20150317_000559	{@sti7}{s24}Select Raid Rewards{/}
UI_20150317_000560	{@st42b}Remaining time {@st43}%s{@st42b} seconds{/}
UI_20150317_000561	{@st41b}Increase the number of selections
UI_20150317_000562	{@43b}{s22} No. of times selectable : {@st43}%s{/}
UI_20150317_000563	shadow_box tentativeremoval
UI_20150317_000564	{@st43}排行{/}
UI_20150317_000565	{@st59}关闭排行窗口{/}
UI_20150317_000566	{@st41}击杀怪物 Top 100{/}
UI_20150317_000567	{@st41}伤害 Top 100{/}
UI_20150317_000568	{@st41}钱钱 Top 100{/}
UI_20150317_000569	{@st41}升级 Top 100{/}
UI_20150317_000570	{@st41b}菜单{/}
UI_20150317_000571	{@st43}{s22}道具强化{/}
UI_20150317_000572	{@st41b}目标物品
UI_20150317_000573	{@st41b}铁砧
UI_20150317_000574	{@st41}{s20}铁砧击打次数 :{@st43} %s
UI_20150317_000575	{@st41}{s20}强化费用 : %s
UI_20150317_000576	{@st41b}开始强化{/}
UI_20150317_000577	{@st59}开始强化你的道具.{/}
UI_20150317_000578	{@st59}关闭强化{/}
UI_20150317_000579	{@st41b}选 {@sti9}%s개{/} 你确定要强化道具?{/}
UI_20150317_000580	{@st43}Enhance
UI_20150317_000581	{@st44}强化道具{/}
UI_20150317_000582	{s24}{b}{#000000}强化完成!
UI_20150317_000583	{@st41}继续强化{/}
UI_20150317_000584	{@st41}关闭{/}
UI_20150317_000585	{s18}{ol}{gr gradation1}装备修理{/}
UI_20150317_000586	穿装备
UI_20150317_000587	拥有装备
UI_20150317_000588	{gr gradation1}全选{/}
UI_20150317_000589	全选
UI_20150317_000590	{gr gradation1}修理{/}
UI_20150317_000591	{@st43}修理{/}
UI_20150317_000592	需要修理的道具列表
UI_20150317_000593	{@st41b}修理费用{/}
UI_20150317_000594	{@st41b}Expected Balance{/}
UI_20150317_000595	{@st41b}修理装备{/}
UI_20150317_000596	修理所选的装备.
UI_20150317_000597	{@st59}关闭修理物品{/}
UI_20150317_000598	{@st43}修理物品{/}
UI_20150317_000599	{@st41}需要修理的物品列表{/}
UI_20150317_000600	{@st44}修理物品{/}
UI_20150317_000601	{@st42}修理{/}
UI_20150317_000602	{@st59}修理 as current settings{/}
UI_20150317_000603	{@st59}无修理.{/}
UI_20150317_000604	{@st44}Resume{/}
UI_20150317_000605	{@st41b}You have become {/}{s20}{#cc6600}{ol} incapable of combat{/}{@st41b}{/}
UI_20150317_000606	{@st41b}从最近点复活{/}
UI_20150317_000607	{@st41b}原地复活(金币 %s个 需要){/}
UI_20150317_000608	{@st41b}返回现场{/}
UI_20150317_000609	{@st41b}放弃并重新开始{/}
UI_20150317_000610	{@st41b}再尝试{/}
UI_20150317_000611	复活的避难所(70031)
UI_20150317_000612	必需物品.
UI_20150317_000613	Rest Quickslot
UI_20150317_000614	{@st43}气泡{/}
UI_20150317_000615	Temporary Name
UI_20150317_000616	{@st41b}{s18}缺少存储空间
UI_20150317_000617	库存已满无法取得该物品.{nl}请整理库存.
UI_20150317_000618	{@st44}设置道具获取!{/}
UI_20150317_000619	请选择一个道具
UI_20150317_000620	{@st59b}商店{nl}{@st59s} - 购买大量物品鼠标右击输入数量{nl} - 全部销售物品鼠标双击{/}
UI_20150317_000621	{@st59}关闭商店{/}
UI_20150317_000622	{@st59}首页{/}
UI_20150317_000623	{@st59}下一页{/}
UI_20150317_000624	{@st59}尾页{/}
UI_20150317_000625	{@st41b}清空{/}
UI_20150317_000626	{@st59}清空购物车{/}
UI_20150317_000627	{@st41b}Confirm{/}
UI_20150317_000628	{@st59}我决定交易{/}
UI_20150317_000629	{@st43}商店{/}
UI_20150317_000630	{@st41b}Shop Items{/}
UI_20150317_000631	{@st41b}Inv. Items{/}
UI_20150317_000632	{@st41b}Trade Cost ▶{/}
UI_20150317_000633	{@st41b}Expected Gold ▶{/}
UI_20150317_000634	{@st41b}Previous Sold Items{/}
UI_20150317_000635	{@st41}Empty Slot{/}
UI_20150317_000636	{@st43}Accept{/}
UI_20150317_000637	{@st41}Trade Cost{/}
UI_20150317_000638	{@st41}Expected Gold{/}
UI_20150317_000639	{@st41}Received Items{/}
UI_20150317_000640	{@sti1c}시모니
UI_20150317_000641	{@st41}生产技能
UI_20150317_000642	{@st42}级别 %s{/}
UI_20150317_000643	生产成本
UI_20150317_000644	生产编号
UI_20150317_000645	大约 %s 秒钟需要消耗
UI_20150317_000646	{@st41}创建
UI_20150317_000647	{@st43}Class 技能属性{/}
UI_20150317_000648	{@st59}关闭 Class 和技能{/}
UI_20150317_000649	{@st59b}Class {nl}{@st59s}- Increase class circles to acquire skills {nl} - Can select 3 classes when Advancing from 1st to 2nd class {nl} - Can Advance to same class up to 3 times {nl} - Cannot change back to previous class when Advancing to another class {nl} - Consume all skill points to Advance {nl} - Can choose the same class {nl} {@st59b}Skills {nl}{@st59s}- Each rank's skill can be increased up to 5 levels {nl} - Attributes learned from masters can be seen below the skills {/}
UI_20150317_000650	{@st41b}Apply{/}
UI_20150317_000651	{@st59}Apply skill points{/}
UI_20150317_000652	Cleric
UI_20150317_000653	{@st59}Cancel point distribution{/}
UI_20150317_000654	Learning{#ff4400}%s (%slevel){/}...
UI_20150317_000655	Psychohassle
UI_20150317_000656	%s mins left
UI_20150317_000657	{@st43}姿势{/}
UI_20150317_000658	{@st59}关闭姿势{/}
UI_20150317_000659	{@st41}看板{/}
UI_20150317_000660	{@st41}交易{/}
UI_20150317_000661	{@st41}Social Functions{/}
UI_20150317_000662	{@st41b}Write{/}
UI_20150317_000663	{@st41}Register{/}
UI_20150317_000664	{@st59}Register post{/}
UI_20150317_000665	{@st41}Start MyPage{/}
UI_20150317_000666	{@st59}Publish MyPage{/}
UI_20150317_000667	{@st59}Write greetings{/}
UI_20150317_000668	{@st41b}1. Menu{/}
UI_20150317_000669	{@st41}Visit{/}
UI_20150317_000670	{@st59}Visit MyPage{/}
UI_20150317_000671	{@st41}Sell{/}
UI_20150317_000672	{@st59}Sell item{/}
UI_20150317_000673	{@st43}Living{/}
UI_20150317_000674	{@st59}Close living{/}
UI_20150317_000675	{@st41}View all{/}
UI_20150317_000676	{@st41}Create Map{/}
UI_20150317_000677	{@st41}%s/min (%s in hand){/}
UI_20150317_000678	键盘 Warrior
UI_20150317_000679	{@st42}%s{/}{@st42_yellow}Level{/}
UI_20150317_000680	{@st41_yellow}Employment Time
UI_20150317_000681	{@st43}Graffiti{/}
UI_20150317_000682	{@st59}Close Spray{/}
UI_20150317_000683	{@st41b}Tip : Draw a picture in the frame below{/}
UI_20150317_000684	{@st41b}Colors{/}
UI_20150317_000685	{@st41b}Quantity{/}
UI_20150317_000686	{@st41b}Brush{/}
UI_20150317_000687	{@st43}Draw{/}
UI_20150317_000688	{@st59}Draw the completed picture on the ground.{/}
UI_20150317_000689	{@st41b}{a SAVE_EDIT_SPRAY}Save{/}{/}
UI_20150317_000690	{@st59}Save drawings{/}
UI_20150317_000691	{@st41b}{a LOAD_EDIT_SPRAY}Load{/}{/}
UI_20150317_000692	{@st59}Load pictures that you drew.{/}
UI_20150317_000693	{@st59}Selected color 1{/}
UI_20150317_000694	{@st59}Selected color 2{/}
UI_20150317_000695	{@st59}Color List{/}
UI_20150317_000696	{@st59}Selected Brush{/}
UI_20150317_000697	{@st59}Brush 1{/}
UI_20150317_000698	{@st59}Brush 2{/}
UI_20150317_000699	{@st59}Brush 3{/}
UI_20150317_000700	{@st59}Brush 4{/}
UI_20150317_000701	{@st59}Brush 5{/}
UI_20150317_000702	{@st59}Brush 6{/}
UI_20150317_000703	{@st49}People who like this{/}
UI_20150317_000704	{s20}{#050505}Describe whatever
UI_20150317_000705	{@st41} 全部 {/}
UI_20150317_000706	{@st41} Party {/}
UI_20150317_000707	{@st41} 怪物 {/}
UI_20150317_000708	{@st41b}{#f0dcaa}Remaining Status Points: {@st46}%s
UI_20150317_000709	{@st59b}角色细节{nl}{@st59s} - Status : Use Points obtained by leveling up to improve the five possible Status{nl} - Information : Character Status information according to the Stats{nl} - Archivements : Aquire Titles by completing missions{nl}{/}
UI_20150317_000710	{@st41b}点数{/}
UI_20150317_000711	{@st41b}标题{/}
UI_20150317_000712	Job Class
UI_20150317_000713	{@st43}角色信息
UI_20150317_000714	{@st59}更改角色名称{/}
UI_20150317_000715	{@st41b}同意
UI_20150317_000716	{@st59}Apply status distribution{/}
UI_20150317_000717	{@st41b}退出
UI_20150317_000718	{@st59}Cancel status distribution{/}
UI_20150317_000719	PC名称
UI_20150317_000720	{@st41_yellow}Level: {@st41}%s{/}
UI_20150317_000721	{@st41_yellow}佣兵技能
UI_20150317_000722	{@st43}攻击效果{/}
UI_20150317_000723	{@st43}防御效果{/}
UI_20150317_000724	{@st43}开始{/}
UI_20150317_000725	systemmenu_vertical tentative removal
UI_20150317_000726	{@st59}角色 信息 (F1){/}
UI_20150317_000727	{@st59}物品栏 (F2){/}
UI_20150317_000728	{@st59}职业 & 技能 (F3){/}
UI_20150317_000729	{@st59}冒险 日志 (F4){/}
UI_20150317_000730	{@st59}任务 (F5){/}
UI_20150317_000731	{@st59}团队 (F6){/}
UI_20150317_000732	{@st59}好友 (F7){/}
UI_20150317_000733	{@st59}宏 (F8){/}
UI_20150317_000734	{@st59}同伴 (F9){/}
UI_20150317_000735	{@st59}帮助 (F10){/}
UI_20150317_000736	{@st59}系统菜单 (Esc){/}
UI_20150317_000737	{@st59}死灵之书{/}
UI_20150317_000738	帮助(F1)
UI_20150317_000739	内容
UI_20150317_000740	可是细节
UI_20150317_000741	{@st43}游戏设置{/}
UI_20150317_000742	{@st43}显示信息{/}
UI_20150317_000743	{@st41b}EXP 合计{/}
UI_20150317_000744	{@st41b}角色信息{/}
UI_20150317_000745	{@st41b}联队信息ONLY{/}
UI_20150317_000746	{@st41b}任务向导{/}
UI_20150317_000747	{@st43}屏幕{/}
UI_20150317_000748	{@st43}显卡{/}
UI_20150317_000749	{@st41b}全屏{/}
UI_20150317_000750	{@st41b}窗口{/}
UI_20150317_000751	{@st43}声音{/}
UI_20150317_000752	{@st41b}特效调节 (%s){/}
UI_20150317_000753	{@st41b}音乐调节 (%s){/}
UI_20150317_000754	{@st41b}全部调节 (%s){/}
UI_20150317_000755	{@st43}语言{/}
UI_20150317_000756	{@st59}关闭游戏设置{/}
UI_20150317_000757	{@st41b}最佳模式{/}
UI_20150317_000758	{@st41b}实例{/}
UI_20150317_000759	{@st59}积分{/}
UI_20150317_000760	目标 buff 窗口
UI_20150317_000761	{@st46}IMC友情标签
UI_20150317_000762	{@st46}%s友情标签
UI_20150317_000763	{@st46}点赞
UI_20150317_000764	{@st46}声明
UI_20150317_000765	{@st46}Use preservatives
UI_20150317_000766	{@st46}移除图片
UI_20150317_000767	Snow Hallucination
UI_20150317_000768	Bouquet
UI_20150317_000769	{@st41} 礼物
UI_20150317_000770	请输入你的号码.
UI_20150317_000771	{@st53b}%s 胜 %s 负
UI_20150317_000772	{@st42}Today's Schedule
UI_20150317_000773	{@st53}开始啦 :
UI_20150317_000774	{@st53b}Gifts received : %s 个
UI_20150317_000775	{@st43b}发送礼物给 %s{/}
UI_20150317_000776	{@st55_a}下一场游戏
UI_20150317_000777	{@st53}- 点击名字来查看{nl}- 右键送礼
UI_20150317_000778	我的角色视角
UI_20150317_000779	{@st55_a}超级恭喜!
UI_20150317_000780	{@st42}切换视角
UI_20150317_000781	{@st44}冒险日志{/}
UI_20150317_000782	{@st59}更改视觉设置{/}
UI_20150317_000783	{@st41} 统计 {/}
UI_20150317_000784	{@st41} 制造 {/}
UI_20150317_000785	{@st41} 狩猎 {/}
UI_20150317_000786	{@st41} 帮助 {/}
UI_20150317_000787	{@st44}Wiki 页面{/}
UI_20150317_000788	{@st42}信息{/}
UI_20150317_000789	{@st42}细节{/}
UI_20150317_000790	{@st42}战役{/}
UI_20150317_000791	{@st42}获得{/}
UI_20150317_000792	{@st59}关闭页面{/}
UI_20150317_000793	{@st43}战场
UI_20150317_000794	{@st59}关闭战场.
UI_20150317_000795	(Bronze 3)
UI_20150317_000796	{@sti8}Points to earn today : {nl}%s{/}
UI_20150317_000797	{@st41}Point Shop
UI_20150317_000798	{@st41}Rankings
UI_20150317_000799	{@st42}Battlefield schedule
UI_20150317_000800	{@st42}Recent records
UI_20150317_000801	{@st41}Receive EXP
UI_20150317_000802	{@st41}PVP Page
UI_20150317_000803	{@st41}Search
UI_20150317_000804	{@st43}Battlefield Rankings
UI_20150317_000805	{@st59}Close Battlefield rankings
UI_20150317_000806	{@st56}Skill Name{/}
UI_20150317_000807	{@st41}Check coordinates{/}
UI_20150317_000808	{@st41}Find{/}
UI_20150317_000809	{@st42b}Manage monster regen{/}
UI_20150317_000810	{@st42b}Monster List{/}
UI_20150317_000811	{@st42b}Create UI{/}
UI_20150317_000812	{@st42b}Map Fog{/}
UI_20150317_000813	{@st42b}Create Map{/}
UI_20150317_000814	{@st42b}Create Minimap{/}
UI_20150317_000815	{@st42b}Dialog {/}
UI_20150317_000816	{@st42b}Change Quest Rewards{/}
UI_20150317_000817	{@st42b}Group regen{/}
UI_20150317_000818	{@st42b}Set map location{/}
UI_20150317_000819	{@st42b}Skills map{/}
UI_20150317_000820	{@st42b}List of events{/}
UI_20150317_000821	{@st42b}Check coordinates{/}
UI_20150317_000822	{@st42b} Check XAC, texture path{/}
UI_20150317_000823	{@st42b}Performance ONOFF{/}
UI_20150317_000824	对话列表
UI_20150317_000825	搜索.
UI_20150317_000826	{@st41}Preview{/}
UI_20150317_000827	{@st41}Off{/}
UI_20150317_000828	{@st41}移除{/}
UI_20150317_000829	{@st41}全部保存{/}
UI_20150317_000830	{@st41}Apply picture{/}
UI_20150317_000831	{#FFFFFF}{ds}Select Event
UI_20150317_000832	{#FFFFFF}{ds}Edit Event
UI_20150317_000833	{ol}List
UI_20150317_000834	The name of the group to save
UI_20150317_000835	{@st42}Create New{/}
UI_20150317_000836	{@st41}Group regen{/}
UI_20150317_000837	{@st59}Enter the name of the monster to search{/}
UI_20150317_000838	{@st59}Enter a name of the group to save{/}
UI_20150317_000839	{@st41}New group{/}
UI_20150317_000840	Filtering
UI_20150317_000841	{@st59}Enter filter{/}
UI_20150317_000842	{ol}Property Value
UI_20150317_000843	Class List
UI_20150317_000844	Apply to XML
UI_20150317_000845	{#FFFFFF}{ds}Log
UI_20150317_000846	{#FFFFFF}{ds}Vew all properties
UI_20150317_000847	Enter search word.
UI_20150317_000848	All attribute values
UI_20150317_000849	{ol}Name
UI_20150317_000850	{ol}Value
UI_20150317_000851	Log
UI_20150317_000852	{ol}Revision
UI_20150317_000853	{ol}Log
UI_20150317_000854	Class list
UI_20150317_000855	XML Conversion
UI_20150317_000856	{ol}Class name
UI_20150317_000857	{ol}Property Name
UI_20150317_000858	{ol}Changed value
UI_20150317_000859	{ol}Apply
UI_20150317_000860	Open Folder
UI_20150317_000861	Check All
UI_20150317_000862	History
UI_20150317_000863	Rollback Value
UI_20150317_000864	{ol}Select item
UI_20150317_000865	Enter the name you want to search.
UI_20150317_000866	{@st42}确认{/}
UI_20150317_000867	{@st41}创建 UI{/}
UI_20150317_000868	{ol}帧数
UI_20150317_000869	{@st41}帧数{/}
UI_20150317_000870	{@st41}按钮{/}
UI_20150317_000871	{@st41}文本{/}
UI_20150317_000872	{@st42b}普通{img btn_close}
UI_20150317_000873	{@st42b}拍卖{img btn_close}
UI_20150317_000874	{@st41}设置地图地标{/}
UI_20150317_000875	{@st41}重命名{/}
UI_20150317_000876	{@st59}填入你想要的词{/}
UI_20150317_000877	{@st41}创建{/}
UI_20150317_000878	{@st56}XML save{/}
UI_20150317_000879	{@st56}重置{/}
UI_20150317_000880	{@st56}属性{/}
UI_20150317_000881	{@st56}值{/}
UI_20150317_000882	{@st42}内容{/}
UI_20150317_000883	{@st41}撤销{/}
UI_20150317_000884	{@st41}全部保存{/}
UI_20150317_000885	{@st41}XML Open{/}
UI_20150317_000886	{@st42b}Fixed Skill : 0{/}
UI_20150317_000887	{@st42b}Fixed skill : %s{/}
UI_20150317_000888	{@st42b}Mouse homing{/}
UI_20150317_000889	{@st42b}Skill name{/}
UI_20150317_000890	{@st41}Monster list{/}
UI_20150317_000891	{@st41}Performance Manager{/}
UI_20150317_000892	{ol}Select Quest
UI_20150317_000893	Enter the name of quest to search
UI_20150317_000894	{ol}Select map
UI_20150317_000895	Enter the name of the map you want to search.
UI_20150317_000896	{@st42}Current map{/}
UI_20150317_000897	{ol}Map name
UI_20150317_000898	{ol}Coordinates
UI_20150317_000899	{@st41}Change quest rewards{/}
UI_20150317_000900	{@st59}Enter quest to search{/}
UI_20150317_000901	{@st59}Enter the item to search for{/}
UI_20150317_000902	{@st42}EXP
UI_20150317_000903	{ol}Basic rewards
UI_20150317_000904	{ol}Quantity
UI_20150317_000905	{ol}Additional rewards
UI_20150317_000906	{@st45}Frequently used cheats
UI_20150317_000907	{@st41}Skills map{/}
UI_20150317_000908	{@st42}Ability{/}
UI_20150317_000909	{@st42}Warrior{/}
UI_20150317_000910	{@st42}Wizard{/}
UI_20150317_000911	{@st42}Archer{/}
UI_20150317_000912	{@st42}Monk{/}
UI_20150317_000913	{@st42}Sorcerer{/}
UI_20150317_000914	{@st41}Skill{/}
UI_20150317_000915	{@st59}Xml load{/}
UI_20150317_000916	{@st41}Load{/}
UI_20150317_000917	{@st59}Save as xml{/}
UI_20150317_000918	{@st59}Reset Open Skill map{/}
UI_20150317_000919	 {@st41}Reset{/}
UI_20150317_000920	{@st59}Reset all Skill  maps{/}
UI_20150317_000921	{@st41}Reset All{/}
UI_20150317_000922	{S18}Remove script
UI_20150317_000923	{S18}String argument
UI_20150317_000924	{s18}string 1 argument
UI_20150317_000925	{s18}string 2 argument
UI_20150317_000926	{s18}Max skill level
UI_20150317_000927	{@st59}Remove script type box{/}
UI_20150317_000928	{@st59}Remove script argument{/}
UI_20150317_000929	{@st59}Max skill level{/}
UI_20150317_000930	{@st59}Save Property{/}
UI_20150317_000931	{@st41}Save Property{/}
UI_20150317_000932	{@st44}UI List{/}
UI_20150317_000933	{ds}Addon List
UI_20150317_000934	{ds}Fixed frame list
UI_20150317_000935	{@st42}UI list{/}
UI_20150317_000936	{@st59}show UI List{/}
UI_20150317_000937	{@st42}Adjust location{/}
UI_20150317_000938	{@st59}Adjust location{/}
UI_20150317_000939	{@st42}Edit Property{/}
UI_20150317_000940	{@st59}Edit property{/}
UI_20150317_000941	{@st42}保存{/}
UI_20150317_000942	{@st59}保存{/}
UI_20150317_000943	{@st44}UI 属性编辑{/}
UI_20150317_000944	{@st59}角色选择{/}
UI_20150317_000945	{@st59}登出{/}
UI_20150317_000946	{@st59}游戏设置{/}
UI_20150317_000947	{@st59}退出游戏{/}
UI_20150317_000948	{@st43}房屋设置{/}
UI_20150317_000949	{@st59}关闭房屋设置{/}
UI_20150317_000950	{@st42_b}{s18}{#f5c384}团队名称{/}
UI_20150317_000951	{@st59}输入你的团队名称{/}
UI_20150317_000952	{@st59}保存你的新团队名称{/}
UI_20150317_000953	systemmenu_vertical 잠정삭제
UI_20150317_000954	{@st59}Close Barrack Decorations{/}
UI_20150317_000955	{@st43}Barrack Decorations{/}
UI_20150317_000956	{@st41b}   皮肤   {/}
UI_20150317_000957	{@st41b}   物品放置   {/}
UI_20150317_000958	{@st41b}名称
UI_20150317_000959	{@st41b}价格
UI_20150317_000960	{@st41b}状态
UI_20150317_000961	{@st44}新角色{/}
UI_20150317_000962	{@st41b}{s22}请选择一个你想创建的 class{/}
UI_20150317_000963	{@st41b}退出创建{/}
UI_20150317_000964	{@st59}退出角色创建{/}
UI_20150317_000965	选择一个角色
UI_20150317_000966	{@st41}角色{/}
UI_20150317_000967	{@st59}右转{/}
UI_20150317_000968	{@st59}左转{/}
UI_20150317_000969	{@st43b}角色旋转{/}
UI_20150317_000970	{@st43}角色名称{/}
UI_20150317_000971	{@st59}输入名称{/}
UI_20150317_000972	{@st43b}选择性别{/}
UI_20150317_000973	{@st59}女生{/}
UI_20150317_000974	{@st59}男生{/}
UI_20150317_000975	{@st43b}选择发型{/}
UI_20150317_000976	{@st59}发型 1{/}
UI_20150317_000977	{@st59}发型 2{/}
UI_20150317_000978	{@st59}发型 3{/}
UI_20150317_000979	{@st59}发型 4{/}
UI_20150317_000980	{@st59}发型 5{/}
UI_20150317_000981	{@st59}发型 6{/}
UI_20150317_000982	{@st59}发型 7{/}
UI_20150317_000983	{@st59}发型 8{/}
UI_20150317_000984	{@st59}发型 9{/}
UI_20150317_000985	{@st59}发型 10{/}
UI_20150317_000986	{@st43b}选择 Class{/}
UI_20150317_000987	{@st59}剑士{/}
UI_20150317_000988	{@st59}巫师{/}
UI_20150317_000989	{@st59}弓箭手{/}
UI_20150317_000990	{@st59}服侍{/}
UI_20150317_000991	{@st41b}参观军营{/}
UI_20150317_000992	{@st59}参观别人的营房.{/}
UI_20150317_000993	{@st41b}登出{/}
UI_20150317_000994	{@st59}回到登录界面{/}
UI_20150317_000995	{@st41b}离开游戏{/}
UI_20150317_000996	{@st59}退出游戏{/}
UI_20150317_000997	{@st41b}选择一个频道来开始游戏{/}
UI_20150317_000998	{@st43}开始游戏{/}
UI_20150317_000999	{@st59}你必须选择一个角色来开始游戏{/}
UI_20150317_001000	{@st43}{s26}团队名称{/}
UI_20150317_001001	{@st59}团队名称{/}
UI_20150317_001002	{@st41b}团队名称修改{/}
UI_20150317_001003	{@st59} 修改团队名称{/}
UI_20150317_001004	{@st41}小伙伴{/}
UI_20150317_001005	拖拽聊天
UI_20150317_001006	{@st44}新对话框名称{/}
UI_20150317_001007	{@st42}更改{/}
UI_20150317_001008	{@st44}新窗口名称{/}
UI_20150317_001009	{@st43}{s40}{gr gradation4}创建角色{/}
UI_20150317_001010	{@st59}创建人物{/}
UI_20150317_001011	{@st59}解除城堡{/}
UI_20150317_001012	{@st59}关闭团队名称{/}
UI_20150317_001013	{@st59}以输入的名称创建团队{/}
UI_20150317_001014	{@st43}{s30}{#f0dcaa}团队名称!
UI_20150317_001015	{@st41b} The team name is a name that represents all characters.{nl}can freely change the team name in the trade, guild, is a common name used in conversation.{/}
UI_20150317_001016	登录背景
UI_20150317_001017	提示
UI_20150317_001018	游戏小提示
UI_20150317_001019	登入
UI_20150317_001020	用户名称
UI_20150317_001021	{@st59}输入你的用户名称{/}
UI_20150317_001022	密码
UI_20150317_001023	{@st59}输入你的密码{/}
UI_20150317_001024	{@st43}链接{/}
UI_20150317_001025	{@st59}链接到选定服务器{/}
UI_20150317_001026	{@st41b}重放{/}
UI_20150317_001027	{@st41b}独立 模式{/}
UI_20150317_001028	{@st41b}退出游戏{/}
UI_20150317_001029	保存
UI_20150317_001030	{@st59}如果你检查保存账户{/}
UI_20150317_001031	服务器列表t
UI_20150317_001032	{@st59}请选择一个你想登录的服务器{/}
UI_20150317_001033	登录标题
UI_20150317_001034	[内测版汉化by辣条汉化组]
UI_20150317_001035	选项
UI_20150317_001036	视觉距离
UI_20150317_001037	{s20}{#BBBBBB}视觉距离
UI_20150317_001038	视觉距离 :
UI_20150317_001039	角色 :
UI_20150317_001040	背景物品 :
UI_20150317_001041	地形-水体(%) :
UI_20150317_001042	地形-树木 (%) :
UI_20150317_001043	地形-对象(%) :
UI_20150317_001044	阴影
UI_20150317_001045	{s20}{#BBBBBB}阴影贴图
UI_20150317_001046	使用阴影贴图
UI_20150317_001047	阴影质量 :
UI_20150317_001048	SSAO 使用
UI_20150317_001049	SSAO 方案 :
UI_20150317_001050	SSAO 解析度 :
UI_20150317_001051	倒影
UI_20150317_001052	{s20}{#BBBBBB}倒影
UI_20150317_001053	角色 倒影
UI_20150317_001054	背景 倒影
UI_20150317_001055	{s20}{#BBBBBB}Glow 设置
UI_20150317_001056	Glow 使用
UI_20150317_001057	{@st41}  攻击{/}
UI_20150317_001058	{@st41}      防御{/}
UI_20150317_001059	{@st41}生命{/}
UI_20150317_001060	{@st41}        难点{/}
UI_20150317_001061	{@st41}头发
UI_20150317_001062	{@st41}循环
UI_20150317_001063	{@st43}创建角色
UI_20150317_001064	{@st59}创建选择的角色{/}
UI_20150317_001065	{@st41b}退出选择
UI_20150317_001066	{@st59}退出角色选择{/}
UI_20150317_001067	人物详情
UI_20150317_001068	{@t41}Bring Along
UI_20150317_001069	{@St59}Click then select the character for companion to follow{/}
UI_20150317_001070	UI of Item Creation
UI_20150317_001071	{s24}名字 :
UI_20150317_001072	{s16} 力量 :
UI_20150317_001073	{s16} 体力 :
UI_20150317_001074	{s16} 敏捷 :
UI_20150317_001075	{s16} 精力 :
UI_20150317_001076	{s16} 领导力 :
UI_20150317_001077	{s18} 职业选择
UI_20150317_001078	{S18} Right Way Union
UI_20150317_001079	{S18} Providence Evil Union
UI_20150317_001080	Hong Moo Moon
UI_20150317_001081	Dae Do Cheon
UI_20150317_001082	Fire Swords
UI_20150317_001083	For adenomas hwageuk
UI_20150317_001084	Puncture sex
UI_20150317_001085	Yeonhwagyo
UI_20150317_001086	{S16}Gender and Apperance
UI_20150317_001087	Male
UI_20150317_001088	Female
UI_20150317_001089	Hair Adjustment
UI_20150317_001090	Key Adjustment
UI_20150317_001091	Shoulder Width
UI_20150317_001092	Hand and Foot size
UI_20150317_001093	Chest Size
UI_20150317_001094	Waist Size
UI_20150317_001095	Hip Size
UI_20150317_001096	{S18} Head Size
UI_20150317_001097	{S14} Height Adjustment
UI_20150317_001098	{S14} Shoulder Width
UI_20150317_001099	{S14} Hand and Foot size
UI_20150317_001100	{S14} Chest Size
UI_20150317_001101	{S14} Waist Size
UI_20150317_001102	{S14} Pelvic Size
UI_20150317_001103	Value of Pre-setup
UI_20150317_001104	Value of Random setup
UI_20150317_001105	Create New Character
UI_20150317_001106	Cancel Create Character
UI_20150317_001107	{@st43}{s40}{gr gradation4}播放开始{/}
UI_20150317_001108	{@st43}{s40}{gr gradation4}退出预览{/}
UI_20150317_001109	{@st43}{s40}{gr gradation4}返回加入{/}
UI_20150317_001110	{@st59}正在返回加入.{/}
UI_20150317_001111	{@st41b}返回{/}
UI_20150317_001112	{@st59}我回到营房.{/}
UI_20150317_001113	{@st43}{s24}营方名称{/}
UI_20150317_001114	{@st59}营方名称{/}
UI_20150317_001115	{@st41b}装饰品{/}
UI_20150317_001116	{@st59}营房 装饰品{/}
UI_20150317_001117	{@st41b}设置{/}
UI_20150317_001118	{@st59}营房设置{/}
UI_20150317_001119	制定项目的框架
UI_20150317_001120	绿色
UI_20150317_001121	浓度
UI_20150317_001122	Like HP
UI_20150317_001123	{@st59}主要附属品{/}
UI_20150317_001124	{@st59}次要附属品{/}
UI_20150317_001125	{@st42}文本{/}
UI_20150317_001126	Name of a default content
UI_20150317_001127	Name of a default group
UI_20150317_001128	Name of a default item
UI_20150317_001129	Mr Kim
UI_20150317_001130	重量 : %s
UI_20150317_001131	各种米制品
UI_20150317_001132	%s 部族
UI_20150317_001133	N/A
UI_20150317_001134	禁止交易
UI_20150317_001135	禁止强化
UI_20150317_001136	各种各样
UI_20150317_001137	系统名称
UI_20150317_001138	N/A
UI_20150317_001139	More than a few level
UI_20150317_001140	Everyone can equipe
UI_20150317_001141	Max Socket %s 个
UI_20150317_001142	Item Name
UI_20150317_001143	卖店价格 : %s Silver
UI_20150317_001144	How much
UI_20150317_001145	{@St42b}Full Exploration Rate of Siauliai{/}
UI_20150317_001146	{@St42b}West Forest Area Explored{/}
UI_20150317_001147	{@St18}Item{/}
UI_20150317_001148	{@St18}My Ranking{/}
UI_20150317_001149	Diamond
UI_20150317_001150	N/A
UI_20150317_001151	{@St18}Average{/}
UI_20150317_001152	{@St42b}{s18}Workmanship{/}
UI_20150317_001153	{@St55_c}Item Name
