ITEM_20150317_000001	Empty_头盔 
ITEM_20150317_001305	木质项链 
ITEM_20150317_001306	It的not recommended to take this off while you're carrying something. 
ITEM_20150317_001307	铁质项链 
ITEM_20150317_001308	You might feel like you became lighter, but in reality you will not have become any thinner. 
ITEM_20150317_001309	钢质的项链 
ITEM_20150317_001310	In 战斗, a 小型 factor may make the difference between life and death. You certainly won't regret wea环状 this 项链. 
ITEM_20150317_001311	护符 
ITEM_20150317_001312	Sadly it won't help you much when studying. 
ITEM_20150317_001313	Klaipeda 锁链 
ITEM_20150317_001314	This 项链 brings out the power of the 佩戴者的soul. 
ITEM_20150317_001315	Might 费迪南的锁链 
ITEM_20150317_001316	Handicrafts from 费迪南的have had a strong reputation for hundreds of years. You can feel the difference when you compare them to non-费迪南的items. 
ITEM_20150317_001317	灵巧费迪南的锁链 
ITEM_20150317_001318	生命 费迪南的锁链 
ITEM_20150317_001319	智力 费迪南的锁链 
ITEM_20150317_001320	意志 费迪南的锁链 
ITEM_20150317_001321	Ukopus 项链 
ITEM_20150317_001322	提升 the 魔法力量 of the 佩戴者. 
ITEM_20150317_001323	乌波 项链 
ITEM_20150317_001324	魔力坠饰 
ITEM_20150317_001325	象牙质坠饰 
ITEM_20150317_001326	符文坠饰 
ITEM_20150317_001327	秘银质护符 
ITEM_20150317_001328	项链 bestowed with the blessings of the 大教堂. 
ITEM_20150317_001329	懒惰项链 
ITEM_20150317_001330	愤怒项链 
ITEM_20150317_001331	欺骗项链 
ITEM_20150317_001332	串弦项链 
ITEM_20150317_001333	According to legend; after learning its secret recipe, Lydia Schaffen used to wear this 项链 to polish her skills during her initial period as a poor apprentice. 
ITEM_20150317_001334	哑剧之护符 
ITEM_20150317_001335	It is said that a human 巫师的gave the recipe for this 项链 to the Pantos a 久远的time ago as a gift when the Pantos and humankind were not hostile to one another. 
ITEM_20150317_001336	Pyrlight 坠饰 
ITEM_20150317_001337	Used to be awarded by the Pyromancer 大师之to beginners. This tradition ceased after the Goddesses disappeared. 
ITEM_20150317_001338	Cryo轻型坠饰 
ITEM_20150317_001339	Since 他们的assumption of off冰之prior to the Great Plant Cataclysm, the Cryomancer 大师之has stopped the tradition of awarding this 坠饰 to people. Now this 坠饰 must be either obtained or crafted by the users themselves. 
ITEM_20150317_001340	魔力护符 
ITEM_20150317_001341	Fusing two 魔力objects becomes easy once you find the catalyst. Humans, however, are not the only race who can discover such catalyst. 
ITEM_20150317_001342	力量 坠饰 
ITEM_20150317_001343	Many new 魔力items that use the power of 魔物们 have been invented since the Great Plant Cataclysm. 
ITEM_20150317_001344	Pyluma 锁链 
ITEM_20150317_001345	The Pyromancer 大师之is unrelated to the creation of this item. 
ITEM_20150317_001346	Icema 锁链 
ITEM_20150317_001347	According to a rumor, the Cryomancer 大师之makes a profit every time this item is sold. 
ITEM_20150317_001348	Poizma 锁链 
ITEM_20150317_001349	The people 初级rily involved in the manufactu环状 of this item are wizards expelled from the Tower of 魔导s. 
ITEM_20150317_001350	Lightna 锁链 
ITEM_20150317_001351	According to a legend, Agailla Flurry prepa红色的several dozen copies of this item and fought the 恶魔 King until all of them were destroyed. 
ITEM_20150317_001352	生命 Stone 
ITEM_20150317_001353	An item crafted by combining and condensing everything known to be good for one的生命 through magic. 
ITEM_20150317_001354	Warrior 坠饰 
ITEM_20150317_001355	The recipe for this item has been around for many years in the kingdom, but a theory suggests its origin to be the hometown of the Barbarian Master. There is speculation that its crafting method in the two areas are different. 
ITEM_20150317_001356	Cyclops Eye 
ITEM_20150317_001357	The darkness of the 恶魔 world seen by this eye has turned, and now it serves to protect you. 
ITEM_20150317_001358	骨头 项链 
ITEM_20150317_001359	When a plan to return to this world as an undead was thwarted, the power and intent were contained into this 项链. 
ITEM_20150317_001360	Carnubber 项链 
ITEM_20150317_001361	Misfortune may chase you if you carry something that is not yours. Worry not, since the name and the origin of this 项链 is unknown. 
ITEM_20150317_001362	口帕 坠饰 
ITEM_20150317_001363	矿用 项链 
ITEM_20150317_001364	The remains of a noble 军人 has found a new owner. 
ITEM_20150317_001365	Conqueror 
ITEM_20150317_001366	Its origin dates back to the gift presented by a wise man to the Great King Zachariel as a symbol of servitude during the founding period of the kingdom. A later king released the recipe, and many were crafted in the past. Now, however, it is difficult to find the recipe. 
ITEM_20150317_001367	Petamion 
ITEM_20150317_001368	Some people say that this item proves the theory that the Demons were the first to find the secret method of increasing all abilities simultaneously, not the humans. 
ITEM_20150317_001369	Electric 牙齿 
ITEM_20150317_001370	By mixing two elements that normally do not mix, you can maximize the power of one of them. One must, however, consider the loss of other的benefits and traits resulting from this combination. 
ITEM_20150317_001371	Saffie 项链 
ITEM_20150317_001372	Although this item could not protect its previous owner, it did remain with them until the end. Hopefully this 项链 succeeds in both tasks for you. 
ITEM_20150317_001373	守卫ian 
ITEM_20150317_001374	An item that contains the grace of Goddess Zemyna who disapproves any sort of dispute. Endows incredible protection to the 佩戴者, but at a severe cost to the 佩戴者的offensive power. 
ITEM_20150317_001375	Max Petamion 
ITEM_20150317_001376	If you're seeking a way to improve every single 能力值 of a person, the answer is already known. However, it is not easy to realize that answer for your own use. 
ITEM_20150317_001377	Animus 
ITEM_20150317_001378	Rumors say that the 佩戴者 of this item will leave part of his soul in a different world. Despite the vast number of people still researching the matter, the mechanism of this item is still a mystery. 
ITEM_20150317_001379	Empty_环状 
ITEM_20150317_001380	Grooved 手环 
ITEM_20150317_001381	手镯 
ITEM_20150317_001382	The slot where the gem was attached is still clearly visible. 
ITEM_20150317_001383	皮革手环 
ITEM_20150317_001384	Some 魔物 皮革s, although they don't contain any magical attributes, can gain magical effects depending on how they are crafted. You should not dismiss this item based on its material. 
ITEM_20150317_001385	轻型手环 
ITEM_20150317_001386	Some people h老旧的a misconception that this item 提升 your muscle 力量, which is 完完全全的inaccurate. 
ITEM_20150317_001387	重型的手环 
ITEM_20150317_001388	An 提升in your mental 力量 is not because of an amplification of your 能力值 but a stronger bonding with your surroundings. This, in turn, will replenish your energy. 
ITEM_20150317_001389	环状手镯 
ITEM_20150317_001390	Accuracy is, in essence, the 能力值 to exert precise control over your body. The Accuracy 手环 enables that kind of self-control. 
ITEM_20150317_001391	Noble 手镯 
ITEM_20150317_001392	It is said that the blessings of the Goddess of the Lands, Zemyna, lie within this equipment. 
ITEM_20150317_001393	铁质手环 
ITEM_20150317_001394	Although devoid of any magical effect, it will certainly 提升your 防御. 
ITEM_20150317_001395	生命 重型的手环 
ITEM_20150317_001396	For equipment requi环状 little to no 魔力effect, 费迪南的items are reputed to have a 久远的history of great craftsmanship and quality. 
ITEM_20150317_001397	Magi 重型的手环 
ITEM_20150317_001398	Arcurus 重型的手环 
ITEM_20150317_001399	轻型重型的手环 
ITEM_20150317_001400	轻型铁质手环 
ITEM_20150317_001401	Most consider this item as the worn and 伤害d version of the 铁质手环. 
ITEM_20150317_001402	Klaipeda 手镯 
ITEM_20150317_001403	木质手环 
ITEM_20150317_001404	It is made of a light负重 wood. 
ITEM_20150317_001405	乌波 手环 
ITEM_20150317_001406	森林之手环 
ITEM_20150317_001407	手工造手镯 
ITEM_20150317_001408	符文手镯 
ITEM_20150317_001409	秘银质手镯 
ITEM_20150317_001410	水晶 手环 
ITEM_20150317_001411	This item used to be mainly made of 水晶s from the 水晶 Mine. P魔棒uction of this item has become difficult as the mine has been experiencing many difficulties as of late. 
ITEM_20150317_001412	Shine 手镯 
ITEM_20150317_001413	According to the 佩戴者s of this item, one feels as though 他们的life force and vitality are overflo羽翼. 
ITEM_20150317_001414	战斗 手镯 
ITEM_20150317_001415	This 手镯 has sadly been used for m矿石战斗s between humans in the past than 战斗s against 魔物们. 
ITEM_20150317_001416	毒性 手环 
ITEM_20150317_001417	This item has been manufactu红色的with various 毒性s since its origin and, with the Great Plant Cataclysm, materials have become even easier to find. 
ITEM_20150317_001418	Plants 手镯 
ITEM_20150317_001419	After quickly discove环状 the weaknesses of the Plants, the 冻勺子 family has openly been sha环状 ways to use this information with people. 
ITEM_20150317_001420	Control 手环 
ITEM_20150317_001421	When inorganic matter mutates and becomes a 魔物, there is a way to weaken them by manipulating 他们的精神s. This equipment contains a mechanism that does that. 
ITEM_20150317_001422	Hunter 手环 
ITEM_20150317_001423	This 手环 has been well known among hunters for a 久远的time. With the sudden proliferation of 魔物们 in recent times, m矿石people are using it. 
ITEM_20150317_001424	Archer的Bracer 
ITEM_20150317_001425	The bloodthirsty instinct contained in one of its materials is said to impact the accuracy of the 佩戴者. 
ITEM_20150317_001426	巫师的手镯 
ITEM_20150317_001427	A very 老旧的recipe of which the time of origin cannot be determined. Although rare, it has been found in many diverse locations.  
ITEM_20150317_001428	Rapid 手环 
ITEM_20150317_001429	Originally from Demons who passed the recipe down to 乌波们, this recipe was released by human warriors who stole it from the 乌波们.  
ITEM_20150317_001430	Glass 手镯 
ITEM_20150317_001431	There is a rumor that the price of jewels are about to skyrocket thanks to the increasing number of people who want to wear this. 
ITEM_20150317_001432	Merregina 手环 
ITEM_20150317_001433	Some say they can smell the scent of the sea from this item, but that的most likely just a psychological delusion. 
ITEM_20150317_001434	Bearkaras 手镯 
ITEM_20150317_001435	You can tell where the Bearkaras' power comes from. 
ITEM_20150317_001436	菜鸟手环 
ITEM_20150317_001437	If this is your first time wea环状 something on your wrist, this is a good choice. 
ITEM_20150317_001438	Gladiator Band 
ITEM_20150317_001439	This band was invented during the rule of King Kadumel when Gladiator games were popular. With the increasing threat from 魔物们, this recipe is garne环状 attention. 
ITEM_20150317_001440	手镯 of Linne 
ITEM_20150317_001441	It was named after a scientist who discove红色的ways to deal with the new species that came after the Great Plant Cataclysm. 
ITEM_20150317_001442	Pora 
ITEM_20150317_001443	If you look closely, 
ITEM_20150317_001444	Crafted by the first humans, blessed by the origins of life when 轻型and darkness existed equally 
ITEM_20150317_001445	you can read the follo羽翼 engraving: 
ITEM_20150317_001446	P矿石
ITEM_20150317_001447	Zachariel 手环 
ITEM_20150317_001448	It is t老旧的that this 手环 is a memento dedicated to the Great King crafted by his followers after his death. 
ITEM_20150317_001449	Sissel 手镯 
ITEM_20150317_001450	According to a legend, a warrior obtained this 手镯 at the cost of relinquishing his sanity and humanity for pure frenzy, in order to 封印 away a very strong 恶魔 King. 
ITEM_20150317_001451	Skill 1 手镯 
ITEM_20150317_001452	You can use a special skill. 
ITEM_20150317_001453	Skill 2 手镯 
ITEM_20150317_001454	Skill 3 手镯 
ITEM_20150317_001455	Skill 4 手镯 
ITEM_20150317_001456	Highlander 外袍 
ITEM_20150317_001457	外袍 
ITEM_20150317_001458	It was made with elegance for the 皇家 ball and formal events while not being restrictive to the 移动s of your limbs. 
ITEM_20150317_001459	Peltasta 外袍 
ITEM_20150317_001460	Peltastas prefer a fancy outfit because they care m矿石about flaunting 他们的战斗 actions to 他们的allies than the dangers of being spotted by an enemy. 
ITEM_20150317_001461	Hoplite 外袍s 
ITEM_20150317_001462	A 外袍 made for versatile leg 移动 such as jumping and thro羽翼 a 矛. Also appropriate for events requi环状 formal attire. 
ITEM_20150317_001463	Centurion 外袍 
ITEM_20150317_001464	This 外袍 inherits a traditional look that has continued for a thousand years. 
ITEM_20150317_001465	Barbarian 外袍 
ITEM_20150317_001466	Although Barbarians do not fol低端的a particular style, this would be closest to 他们的usual preference. 
ITEM_20150317_001467	Cataphract 外袍 
ITEM_20150317_001468	Made to be appropriate for a horse rider. Also minimizes the burden to the mount. 
ITEM_20150317_001469	Corsair 外袍 
ITEM_20150317_001470	This 外袍 consists of several layers of independent clothes. It demonstrates the wisdom of the seafarers. 
ITEM_20150317_001471	Doppelsöldner 外袍 
ITEM_20150317_001472	It expresses 他们的free 精神 while maintaining the traditional look from the the Doppelsöldners' place of origin. 
ITEM_20150317_001473	魔棒elero 外袍 
ITEM_20150317_001474	Made to weather any 暴风 while also boasting defensive capabilities suitable for pitched 战斗. 
ITEM_20150317_001475	Squire 外袍 
ITEM_20150317_001476	A traditional 外袍 reflecting a Squire的requirement for clothing suited for 久远的distance travel through various terrain. 
ITEM_20150317_001477	Shinobi 外袍 
ITEM_20150317_001478	人鱼战士 外袍 
ITEM_20150317_001479	Panzer 外袍 
ITEM_20150317_001480	Lancer 外袍 
ITEM_20150317_001481	Dragoon 外袍 
ITEM_20150317_001482	Pyromancer 外袍 
ITEM_20150317_001483	Pyromancers believe 他们的外袍 represents 他们的i魔导 as both a 巫师的and a gentlemanly cleric. 
ITEM_20150317_001484	Cryomancer 外袍 
ITEM_20150317_001485	Crafted to withstand not only a cool breeze but freezing c老旧的temperatures. The 外袍 has been modified to be extremely practical reflecting the current Master的personality. 
ITEM_20150317_001486	Psychokino 外袍 
ITEM_20150317_001487	Despite its neat look, the 外袍 is very loose when worn. This is because Psychokinos帽子e being confined, whether it is 他们的soul or 他们的body. 
ITEM_20150317_001488	Alchemist 外袍 
ITEM_20150317_001489	This multilaye红色的外袍 is designed in such a way that it can be taken off layer by layer during an emergency. 
ITEM_20150317_001490	Sorcerer 外袍 
ITEM_20150317_001491	For a spellcaster 礼服, it is quite 战斗-optimized. If one thinks about the creatures they have to deal with, however, it的very much justified. 
ITEM_20150317_001492	Linker 外袍 
ITEM_20150317_001493	Due to 他们的nature of pursuing connections among things, Linkers prefer a simple and plain outfit that will re意志 one of nothing at all. They say they do this so that people will not have a standardized view of Linkers. 
ITEM_20150317_001494	Chronomancer 外袍 
ITEM_20150317_001495	Chronomancers claim that 他们的外袍 was Agailla Flurry的最爱的style. 
ITEM_20150317_001496	Necromancer 外袍 
ITEM_20150317_001497	Although Necromancers themselves do not want to look sombre, 他们的外袍 is dark enough to conduct a funeral. 
ITEM_20150317_001498	Thaumaturge 外袍 
ITEM_20150317_001499	In truth, 他们的外袍 does not match the 魔力they practice, but tradition is a very strong factor that cannot be ignored. 
ITEM_20150317_001500	Elementalist 外袍 
ITEM_20150317_001501	It was crafted with careful consideration so as to not be identified with any particular branch of magic. 
ITEM_20150317_001502	Mimic 外袍 
ITEM_20150317_001503	Taoist 外袍 
ITEM_20150317_001504	Hunter 外袍 
ITEM_20150317_001505	A 外袍 optimized and designed for 久远的term survival in the forest. 
ITEM_20150317_001506	连发 射手 外袍 
ITEM_20150317_001507	It once used to be a uniform of the 守卫s of a 大号 city. However the 外袍 remained the same even after 连发 射手s were 久远的disassociated with such a role. 
ITEM_20150317_001508	Ranger 外袍 
ITEM_20150317_001509	The Ranger的外袍 is an evolutionary change of the 连发 射手的外袍. 
ITEM_20150317_001510	Sapper 外袍 
ITEM_20150317_001511	Although Sappers are related to the Army, 他们的outfit is unregulated due to 他们的specialist role. 
ITEM_20150317_001512	Wugushi 外袍 
ITEM_20150317_001513	A very traditional 外袍 from 他们的hometown reflecting 他们的history. 
ITEM_20150317_001514	Hackapell 外袍 
ITEM_20150317_001515	This 外袍 allows the 佩戴者 to freely turn 他们的torso while mounted, and has been designed to be comfortable for the 佩戴者的legs. 
ITEM_20150317_001516	Scout 外袍 
ITEM_20150317_001517	A 外袍 designed with a focused consideration on the time of activity rather than the environment. 
ITEM_20150317_001518	Rogue 外袍 
ITEM_20150317_001519	Similarly designed to the Scout的外袍 but with better mobility. It is clearly inappropriate for formal events. 
ITEM_20150317_001520	Schwarzer Reiter 外袍 
ITEM_20150317_001521	A solemn and valiant 外袍 that 给予 reassurance and a trustworthy feeling to others. 
ITEM_20150317_001522	Fletcher 外袍 
ITEM_20150317_001523	It offers a surprising defensive cap能力值 due to the thick fabrics used. Conside环状 its 佩戴者的role, mobility can be sacrificed without issue. 
ITEM_20150317_001524	Falconer 外袍 
ITEM_20150317_001525	Appraiser 外袍 
ITEM_20150317_001526	Pied Piper 外袍 
ITEM_20150317_001527	Musketeer 外袍 
ITEM_20150317_001528	Priest 外袍 
ITEM_20150317_001529	Priests believe they are the most neutral and traditional among the clerics and 他们的外袍 reflects this belief. 
ITEM_20150317_001530	Krivis 外袍 
ITEM_20150317_001531	The Krivis proudly claim that they are the 守卫ians of the oldest traditional faith. 他们的外袍 dates back to the Great King Zachariel的rule. 
ITEM_20150317_001532	Bokor 外袍 
ITEM_20150317_001533	A 外袍 fitting for any activity, whether it的for looking into a 水晶 ball, for knitting, or for s羽翼ing a 武器. 
ITEM_20150317_001534	Druid 外袍 
ITEM_20150317_001535	The 久远的drape used in this 外袍 is said to be helpful for ourdoor living. 
ITEM_20150317_001536	Sadhu 外袍 
ITEM_20150317_001537	This outfit was heavily influenced by the location of origin of its 佩戴者. 
ITEM_20150317_001538	Dievdirbys 外袍 
ITEM_20150317_001539	Needless to say, clothes uncomfortable for sculpting are not even considered.  
ITEM_20150317_001540	Oracle 外袍 
ITEM_20150317_001541	Soft and light, this 外袍 is said to comfort and calm your body and soul. 
ITEM_20150317_001542	Monk 外袍 
ITEM_20150317_001543	A 外袍 emphasizing the solemnity of a cleric while being comfortable enough for physical training. 
ITEM_20150317_001544	Pardoner 外袍 
ITEM_20150317_001545	Like 他们的suits, this 外袍 给予 a sense of faith to others. 
ITEM_20150317_001546	Paladin 外袍 
ITEM_20150317_001547	Paladins have two sets of 外袍s for different purpose: one for indoor prayer and another for outdoor 战斗. This one is for the latter. 
ITEM_20150317_001548	Shepherd 外袍 
ITEM_20150317_001549	Chaplain 外袍 
ITEM_20150317_001550	Empty_Hat 
ITEM_20150317_001551	Hair 外袍 
ITEM_20150317_001552	A 外袍 for the Hair slot. You can equip it by 右键点击 the item. 
ITEM_20150317_001553	Cat Ears 
ITEM_20150317_001554	This will gain you affection from a certain animal. 
ITEM_20150317_001555	水晶 Headband 
ITEM_20150317_001556	Pony Tail 
ITEM_20150317_001557	Goggles used to protect your eyes. 
ITEM_20150317_001558	钢质的Visor 
ITEM_20150317_001559	羽翼s Visor 
ITEM_20150317_001560	Fedora 
ITEM_20150317_001561	Goggles 
ITEM_20150317_001562	Allows you to keep your eyes open in any condition. Fogging might be an issue, though. 
ITEM_20150317_001563	Lepus Bunny Headband 
ITEM_20150317_001564	Headgear based on the ears of a Lepus Bunny. Using this won't improve your hearing. 
ITEM_20150317_001565	Ginkgo叶子 
ITEM_20150317_001566	Easily found during autumn. It may smell like the Ginkgo fruit. 
ITEM_20150317_001567	老虎的燕尾服 
ITEM_20150317_001568	体验身头顶虎皮燕尾服的感觉. 
ITEM_20150317_001569	老鹰的羽毛之
ITEM_20150317_001570	如果需要的话可以当文具用. 
ITEM_20150317_001571	帽子帽子 
ITEM_20150317_001572	你的头上可能长出一个蘑菇哦. 
ITEM_20150317_001573	皇冠 
ITEM_20150317_001574	巨大的力量意味着巨大的责任. 
ITEM_20150317_001575	白花发卡 
ITEM_20150317_001576	要小心不要被当成神经病患者. 
ITEM_20150317_001577	老虎的面具 
ITEM_20150317_001578	面具上画着傻乎乎的老虎脸. 
ITEM_20150317_001579	苍蝇娃娃 
ITEM_20150317_001580	如果你面对真正的苍蝇, 它和娃娃可完全不一样. 
ITEM_20150317_001581	羽翼头盔 
ITEM_20150317_001582	一个用羽翼装饰的头盔. 
ITEM_20150317_001583	羽翼饰品 
ITEM_20150317_001584	灵感来源于女神的翅膀. 
ITEM_20150317_001585	蛋巢 
ITEM_20150317_001586	没有人知道为什么有的人头上顶着一个蛋巢. 
ITEM_20150317_001587	Nesting Chick 
ITEM_20150317_001588	If you don't feed it properly, you might become bald due to the hungry chick. 
ITEM_20150317_001589	Nesting 小鸡 
ITEM_20150317_001590	Now you'll always have eggs for breakfast. 
ITEM_20150317_001591	Campaign帽子 
ITEM_20150317_001592	A帽子 used for a special event or when marching. 
ITEM_20150317_001593	Gentleman的Dignity 
ITEM_20150317_001594	A very fancy, pompous帽子. 
ITEM_20150317_001595	Stylish Glasses 
ITEM_20150317_001596	The latest, trending glasses. It has a pair of colo红色的lenses. 
ITEM_20150317_001597	Bag of 冰之
ITEM_20150317_001598	Very good when you have a fever or for cooling your head. 
ITEM_20150317_001599	Rosa Rugosa 
ITEM_20150317_001600	Smells very pleasant. 
ITEM_20150317_001601	羽毛之Hat 
ITEM_20150317_001602	Don't 意志 the 羽毛之being 大号r than the帽子. 
ITEM_20150317_001603	Maple叶子 
ITEM_20150317_001604	Head 饰品 made to look like a maple叶子. Keep away from fire. 
ITEM_20150317_001605	红色的Tassel帽子 
ITEM_20150317_001606	An ornate帽子 with tassels. Used sometimes by a high ranking official or by reputable people. 
ITEM_20150317_001607	Nurse Headband 
ITEM_20150317_001608	Wea环状 this won't give you any healing powers. 
ITEM_20150317_001609	Katyn 鲜花 饰品 
ITEM_20150317_001610	Headband made with 鲜花s from the Katyn Forest. Eminates a faint blue light. 
ITEM_20150317_001611	Dog Ears 
ITEM_20150317_001612	Become cuter with this. 
ITEM_20150317_001613	Cow Headband 
ITEM_20150317_001614	Moooo mooooo mooo moo moooo. 
ITEM_20150317_001615	小型 Lion 面具 
ITEM_20150317_001616	In some regions people dance while wea环状 this 面具 to cast away evil 精神s. 
ITEM_20150317_001617	Big Lion 面具 
ITEM_20150317_001618	Tengu 面具 
ITEM_20150317_001619	Based on a folk tale creature from a faraway land. 
ITEM_20150317_001620	Fox 面具 
ITEM_20150317_001621	Made to look like the face of a fox. People say this 面具 used to be worn by some assassins. 
ITEM_20150317_001622	Glasses from the Otherworld 
ITEM_20150317_001623	If you wear this, you will enjoy a better depth perception. 
ITEM_20150317_001624	Goat Horn 
ITEM_20150317_001625	If you wear this, your headbutting power may increase. 
ITEM_20150317_001626	恶魔 羽翼s 
ITEM_20150317_001627	Wea环状 this won't give you any special powers against Demons or vice-versa. 
ITEM_20150317_001628	秘银质Tiara 
ITEM_20150317_001629	Sometimes the bride will wear this during her wedding. 
ITEM_20150317_001630	Bear Eye面具 
ITEM_20150317_001631	Blocks the 轻型so you can sleep better. 
ITEM_20150317_001632	Symbol of Wealth 
ITEM_20150317_001633	Show them the meaning of 'wealth.' 
ITEM_20150317_001634	黄金质Rabbit 发卡 
ITEM_20150317_001635	Don't lose it, it的made of solid gold. 
ITEM_20150317_001636	Antler Horns 
ITEM_20150317_001637	To羽翼 a sled while wea环状 this might not be a bad idea. 
ITEM_20150317_001638	Officer 头盔 
ITEM_20150317_001639	饰品s are attached to this 头盔 to demand respect. 
ITEM_20150317_001640	Gilt 头盔 
ITEM_20150317_001641	The metal of this 头盔 has been gilded with g老旧的plate. 
ITEM_20150317_001642	钢质的头盔 
ITEM_20150317_001643	A 头盔 made of strong 精金制metal. Often worn by knights. 
ITEM_20150317_001644	黑色的Rabbit Ears 
ITEM_20150317_001645	Connoisseurs often get into disputes regarding the cuteness factor of a straight ear versus a folded ear. 
ITEM_20150317_001646	Kep一个娃娃 
ITEM_20150317_001647	Hat crafted to represent a 口帕. 
ITEM_20150317_001648	Pink Bunny 
ITEM_20150317_001649	Flaunt your pink-pink-ish attractiveness and cuteness at the same time. 
ITEM_20150317_001650	Stake 
ITEM_20150317_001651	It is said to be a 面具 used in a faraway land. 
ITEM_20150317_001652	White 老虎的面具 
ITEM_20150317_001653	A 面具 based on the white tiger, a very rare animal. 
ITEM_20150317_001654	Glasses 
ITEM_20150317_001655	Helps your eyesight. 
ITEM_20150317_001656	Unicorn Horn 
ITEM_20150317_001657	The horn of a Unicorn. It is considered 的a mythical item. 
ITEM_20150317_001658	红色的Horn 
ITEM_20150317_001659	Although you cannot become a Demon, you can attach these to your head. 
ITEM_20150317_001660	Desert Chupacabra Ears 
ITEM_20150317_001661	If you look carefully, you can see tiny soft hairs on these ears. 
ITEM_20150317_001662	Mirtis 头盔 
ITEM_20150317_001663	头盔 previously used by Mirtis. 
ITEM_20150317_001664	红色的恶魔 羽翼s 
ITEM_20150317_001665	Why do people want to attach 羽翼s to 他们的heads? 
ITEM_20150317_001666	Angel 羽翼s 
ITEM_20150317_001667	I now know that feeling of being alone. This was a mistake. 
ITEM_20150317_001668	Fallen Angel 羽翼s 
ITEM_20150317_001669	The angels who committed sins are said to have had 他们的羽翼s turned 黑色的by 他们的corruption. 
ITEM_20150317_001670	Maid Headband 
ITEM_20150317_001671	How can I serve you today, master? 
ITEM_20150317_001672	Wugushi 头盔 
ITEM_20150317_001673	A 头盔 that is symbolic of the Wugushis. 
ITEM_20150317_001674	Earplugs 
ITEM_20150317_001675	Blocks out noise. 
ITEM_20150317_001676	It 完完全全的cuts you off from any external sound, including Mandragoras' screams. 
ITEM_20150317_001677	Luxury 发卡 
ITEM_20150317_001678	羽毛之头盔 
ITEM_20150317_001679	Shaman 面具 
ITEM_20150317_001680	Sprout 
ITEM_20150317_001681	Fried Egg 
ITEM_20150317_001682	Party Cone 
ITEM_20150317_001683	Cat 发卡 
ITEM_20150317_001684	Imperial Helm 
ITEM_20150317_001685	Ball from Another World 
ITEM_20150317_001686	Burdensome Ribbon 
ITEM_20150317_001687	Paper Crane 
ITEM_20150317_001688	Ghost Headband 
ITEM_20150317_001689	Carnival 面具 
ITEM_20150317_001690	Peacock 羽毛之
ITEM_20150317_001691	战争 Bonnet 
ITEM_20150317_001692	Pineapple 
ITEM_20150317_001693	Desert Outlaw 
ITEM_20150317_001694	Clown Cap 
ITEM_20150317_001695	猫头鹰
ITEM_20150317_001696	皇冠 Headband 
ITEM_20150317_001697	Pudding 
ITEM_20150317_001698	Bride Coronet 
ITEM_20150317_001699	Polka Dot Ribbon 
ITEM_20150317_001700	Blue Ribbon 
ITEM_20150317_001701	Mint Chocolate Cupcake 
ITEM_20150317_001702	Strawberry Cupcake 
ITEM_20150317_001703	Mergen帽子 
ITEM_20150317_001704	点数 
ITEM_20150317_001705	重置s your threat value. 
ITEM_20150317_001706	Shadow Umbrella 
ITEM_20150317_001707	Animal-类型的魔物们 cannot 攻击 you. 
ITEM_20150317_001708	Medusa Head 
ITEM_20150317_001709	Petrifies the enemy. 
ITEM_20150317_001710	Confusion Flag 
ITEM_20150317_001711	Confuses the enemy. 
ITEM_20150317_001712	Imperial Fan 
ITEM_20150317_001713	Blows the enemy away. 
ITEM_20150317_001714	Demonbane 化妆品 
ITEM_20150317_001715	减少s the 防御 of the 恶魔-类型的魔物们. 
ITEM_20150317_001716	Bronze Compass 
ITEM_20150317_001717	Provides resistance against the Confusion status. 
ITEM_20150317_001718	Bubble Stick 
ITEM_20150317_001719	Bubble 权杖 
ITEM_20150317_001720	Secondary Dagger 
ITEM_20150317_001721	HPSP 药剂 
ITEM_20150317_001722	SP 药剂 
ITEM_20150317_001723	速度 药剂 
ITEM_20150317_001724	STA 药剂 
ITEM_20150317_001725	Aggro 药剂 
ITEM_20150317_001726	Money Bag 
ITEM_20150317_001727	Medal 
ITEM_20150317_001728	Four-leaf Clover 
ITEM_20150317_001729	化妆品 
ITEM_20150317_001730	提升 your Critical Hit chance. 
ITEM_20150317_001731	Alchemy 1 
ITEM_20150317_001732	Alchemy 2 
ITEM_20150317_001733	Alchemy 3 
ITEM_20150317_001734	Alchemy 4 
ITEM_20150317_001735	Alchemy 5 
ITEM_20150317_001736	Alchemy 6 
ITEM_20150317_001737	Alchemy 7 
ITEM_20150317_001738	Alchemy 8 
ITEM_20150317_001739	Alchemy 9 
ITEM_20150317_001740	Alchemy 10 
ITEM_20150317_001741	Alchemy 11 
ITEM_20150317_001742	Alchemy 12 
ITEM_20150317_001743	Alchemy 13 
ITEM_20150317_001744	Alchemy 14 
ITEM_20150317_001745	Alchemy 15 
ITEM_20150317_001746	Fitting room 
ITEM_20150317_001747	Muzzles 
ITEM_20150317_001748	Frying Pan 
ITEM_20150317_001749	Pirate Flag 
ITEM_20150317_001750	Shovel 
ITEM_20150317_001751	Tongs 
ITEM_20150317_001752	双刃刀 Skills 
ITEM_20150317_001753	Alchemy 16 
ITEM_20150317_001754	平地锤 
ITEM_20150317_001755	Lamp 
ITEM_20150317_001756	Filter 
ITEM_20150317_001757	铁砧 Set 
ITEM_20150317_001758	平地锤 2 
ITEM_20150317_001759	Material Bag 
